SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Day_Diff,Rel_Close,HL_Ratio,Rel_High,Rel_Low,SMA7,SMA30,SMA60,SMA90,SMA200,CMA,EMA1,EMA2,EMA3,EMA4,EMA5,EMA6,EMA7,EMA8,EMA9,EMA10,Close2
200,Bitcoin,BTC,2013-11-14 23:59:59,425.8999938964844,395.1900024414063,406.4100036621094,420.20001220703125,0.0,5038817795.0,13.790008544921875,0.033931272411264105,1.0777094341085498,1.0135649250924932,0.9404807019536625,362.0257088797433,238.0616663614909,184.32233301798502,164.85686679416233,132.88752792358397,132.88752792358397,294.3148032438394,347.2117570253038,373.22571569981005,388.4947974681741,398.6576914987505,406.0179453129998,411.5240469602163,415.587277975733,418.4272577995152,420.20001220703125,417.95001220703125
201,Bitcoin,BTC,2013-11-15 23:59:59,437.8900146484375,396.1099853515625,419.4100036621094,417.95001220703125,0.0,5013561020.0,-1.459991455078125,-0.0034810601614890012,1.105475829547174,1.0477090605551387,0.9477448828386437,373.4314270019531,247.24166666666667,189.09283320109049,168.23964470757377,134.25457801818848,134.305749238427,306.67832414015857,361.35940806164933,386.6430046519764,400.27688336371693,408.3038518528909,413.1771854494187,416.02222263298677,417.4774653607716,417.9977367662796,417.95001220703125,440.2200012207031
202,Bitcoin,BTC,2013-11-16 23:59:59,450.260009765625,415.5700073242188,417.2799987792969,440.2200012207031,0.0,5282849104.5,22.94000244140625,0.05497508269870232,1.083475712467242,1.0228067977762971,0.9440052841121908,387.87571498325894,257.04066670735676,194.23549982706706,171.86986694335937,135.760678024292,135.82017622843827,320.03249184821306,377.1315266934601,402.71610362259446,416.2541305065114,424.261926536797,429.40287491218936,432.9606676443882,435.67149404871685,437.9977747752608,440.2200012207031,492.1099853515625
203,Bitcoin,BTC,2013-11-17 23:59:59,500.5799865722656,440.239990234375,440.9599914550781,492.1099853515625,0.0,5907842063.75,51.149993896484375,0.11599690422638984,1.1370615974840605,1.0172116020256166,0.8945967432867031,411.5171421595982,268.2456659952799,200.24616622924805,176.01553344726562,137.63627796173097,137.57529844086747,337.240241198548,400.12721842508057,429.5342681412848,446.59647244453186,458.18595594417974,467.02714117581326,474.3651900394102,480.82228709099337,486.6987642939323,492.1099853515625,703.5599975585938
204,Bitcoin,BTC,2013-11-18 23:59:59,703.780029296875,494.9400024414063,496.5799865722656,703.5599975585938,0.0,8449069629.0,206.98001098632812,0.41681102054685204,1.4219501875486258,1.000312740546712,0.7034794532930886,463.105712890625,285.95033264160156,209.81133295694988,182.48614451090495,140.62802795410155,140.34973324046416,373.8722168345526,460.81377425178323,511.7419869664775,549.3818824901566,580.8729767513868,608.9468550054816,634.8015553028387,659.0124554650736,681.8738742321276,703.5599975585938,584.6099853515625
205,Bitcoin,BTC,2013-11-19 23:59:59,806.1099853515625,456.3900146484375,712.760009765625,584.6099853515625,0.0,7022949160.5,-128.1500244140625,-0.17979407185905638,1.7662743694612126,1.3788850781719,0.7806743403022472,495.14571271623885,299.6169987996419,217.43749936421713,187.6118109809028,143.06232788085939,142.5168564214939,394.9459936862536,485.5730164717391,533.602386482003,563.473123634719,582.7414810514747,594.3447332131301,599.6674563369454,599.4904793742646,594.3363742396191,584.6099853515625,590.8300170898438
206,Bitcoin,BTC,2013-11-20 23:59:59,599.6500244140625,448.45001220703125,577.97998046875,590.8300170898438,0.0,7100077963.75,12.85003662109375,0.02223266731604127,1.33716135152479,1.0149281638865641,0.7590169748244838,521.3542872837612,313.2376658121745,225.16083297729492,192.83047782050238,145.4539779663086,144.69313390046648,414.5343960266126,506.62441659536006,550.7706756643552,574.4158810167688,586.7857490706592,592.2359035391582,593.4812488639743,592.5621095467279,591.1806528048213,590.8300170898438,722.4299926757812
207,Bitcoin,BTC,2013-11-21 23:59:59,733.4000244140625,577.2899780273438,594.3200073242188,722.4299926757812,0.0,8684240726.25,128.1099853515625,0.21555724823794262,1.2704187710310892,1.015184906287805,0.7990946996665257,564.5299987792969,330.85999908447263,235.04933293660483,199.54079996744792,148.48657791137694,147.48413321822161,445.3239556915295,549.7855318114443,602.268470767783,633.6215256803738,654.6078708732202,670.3523570211321,683.7453695322392,696.4564160499706,709.3050586886852,722.4299926757812,771.4400024414062
208,Bitcoin,BTC,2013-11-22 23:59:59,780.8499755859375,668.1300048828125,724.0700073242188,771.4400024414062,0.0,9276681716.0,47.3699951171875,0.06542184407311945,1.168709637165443,1.0121979325867871,0.8660816171942801,615.028568812779,349.4539993286133,245.80749969482423,206.7785222371419,151.7822779083252,150.4839210510254,477.93556036651717,594.1164259374367,653.01993026987,688.7489163847868,713.0239366573132,731.0049442732966,745.1316125686561,756.4432851631191,765.2265080661341,771.4400024414062,797.8200073242188
209,Bitcoin,BTC,2013-11-23 23:59:59,844.969970703125,771.7000122070312,771.7000122070312,797.8200073242188,0.0,9597335799.0,26.1199951171875,0.033847343143724146,1.094946167341043,1.0590984970871324,0.96726079206162,666.1142839704241,369.4403330485026,256.9836664835612,214.28640009562176,155.2138779449463,153.5812228992225,509.92400506228734,634.8571422147932,696.4599533861746,732.3773527605596,755.421971990766,771.0939821038498,782.0134888975499,789.5446628919988,794.5606573984103,797.8200073242188,774.25
